country,Country,NY.GDP.MKTP.PP.KD,SP.POP.GROW,SP.POP.TOTL,SP.POP.TOTL.FE.IN,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.IN,SP.POP.TOTL.MA.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.NE.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.NE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.NE.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,FP.CPI.TOTL.ZG,GC.TAX.EXPT.CN,GC.TAX.EXPT.ZS,NE.EXP.GNFS.KD.ZG,NE.EXP.GNFS.KN,NE.EXP.GNFS.ZS,NV.AGR.TOTL.CD,NV.AGR.TOTL.CN,NV.IND.MANF.CD,SL.UEM.TOTL.ZS,GE.EST,NE.CON.GOVT.KN,NE.CON.GOVT.ZS,NE.CON.PRVT.CD,NE.CON.PRVT.CN,NV.IND.MANF.CN,NV.IND.TOTL.CD,NV.IND.TOTL.CN,NV.SRV.TOTL.CD,NV.SRV.TOTL.CN,BM.KLT.DINV.CD.WD,BX.KLT.DINV.WD.GD.ZS,EG.ELC.LOSS.ZS,EG.USE.ELEC.KH.PC,EN.GHG.CO2.IP.MT.CE.AR5,GC.DOD.TOTL.CN,GC.DOD.TOTL.GD.ZS,SE.PRM.NENR,SE.PRM.NENR.FE,SE.PRM.NENR.MA,EG.CFT.ACCS.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,EG.CFT.ACCS.RU.ZS,EG.CFT.ACCS.UR.ZS,IT.NET.USER.FE.ZS,IT.NET.USER.MA.ZS,IT.NET.USER.ZS
UKR,Ukraine,561229725741.223,-8.42300777431605,37732836.0,20188500.0,53.5037970641804,17544336.0,46.4962029358196,-8.3481514473027,26215056.0,69.4754455027606,,,,,,,,11517780.0,-8.59317597954555,30.5245544972394,12.8490222828559,931400000.0,0.0804887883455968,-5.94891789474931,607219843300.0,28.300468273727,13685750195.8779,500540000000.0,15064359718.8458,,-0.357320100069046,578418970500.0,41.8556928744753,110513376129.716,4041895000000.0,550961000000.0,34589315938.8817,1265063000000.0,110929083457.758,4057099000000.0,129000000.0,2.52287921090664,10.1703292525283,2516.32291831974,12.9044,,,,,,94.9,,,,,,,80.198,73.422,66.9,87.6,99.1,,,82.3755
UGA,Uganda,135803286914.102,2.80083228962433,48656601.0,24533989.0,50.4227350365061,24122612.0,49.5772649634939,5.05014804626893,14891808.0,30.6059359395495,48.2857414368039,22045945.0,,3.359,,2.252,,33764793.0,1.82463615657625,69.3940640604505,5.35094804280395,20666668030.0,0.0870810430467488,0.273331253724507,16467045128800.0,11.6017089255499,11748234048.0943,44084978326300.0,7632023950.80995,2.787,-0.549508571624756,14255499920700.0,9.56616058785446,34923573145.5404,131049905789700.0,28638994514400.0,12559572320.2913,47129506550600.0,20732917288.5385,77799795745000.0,380799.232784127,6.13816501913594,,,1.9489,97261222380000.0,53.1469350760568,,,,1.8,,,,,,,71.116,68.252,65.268,0.8,3.7,,,15.2524
TUV,Tuvalu,57054510.9926258,-1.77710654146662,9816.0,4795.0,48.8488182559087,5021.0,51.1511817440913,-0.682055146264719,6283.0,64.0117206689787,,,,,,,,3533.0,-3.69537810405051,35.9882793310213,,,,,,,,,,,-0.449751287698746,,,,,,,,,,0.0,0.267002517757908,,,0.0,,,,,,77.0,93.2753164556962,104.873949579832,82.9596412556054,19.3509615384615,27.8325123152709,11.2676056338028,70.698,67.105,63.765,43.7,97.2,,,74.3146
TCA,Turks and Caicos Islands,1470915240.12362,0.762674129802692,46198.0,23065.0,49.9264037404217,23133.0,50.0735962595783,1.01911710061883,43395.0,93.9324513656818,,,,,,,,2803.0,-3.1258032113867,6.0675486343182,,,,,,,6011000.0,6011000.0,7686000.0,,,,,,,7686000.0,155373000.0,155373000.0,1205917000.0,1205917000.0,0.0,1.99307418959353,,,0.0008,,,,,,,109.841759938248,101.720430107527,119.314381270903,25.2537080405933,32.9078014184397,15.8854166666667,80.297,78.008,75.826,,,,,
TKM,Turkmenistan,131576025873.303,1.83970100027524,7364438.0,3753089.0,50.9623206770592,3611349.0,49.0376793229408,1.85811889979246,3466285.0,47.0678875054171,53.0190415309901,2399702.0,,2.538,,5.86,,3898153.0,1.82332642909692,52.9321124945829,,,,,,21.6245210908525,5182251926.07638,23961000000.0,,4.099,-1.2064995765686,,12.7079042982832,,,,18023794771.149,83336000000.0,22688491968.3284,104904000000.0,0.0,3.00321589469314,,,1.8462,,,,,,99.8,102.546752929688,,,18.8084201812744,18.9331607818604,18.6895694732666,72.839,70.073,66.871,99.9,99.9,,,
TUR,Turkiye,2992310786629.76,0.406389351118662,85325965.0,42719404.0,50.0661248638873,42606561.0,49.9338751361127,0.388112437971746,75958748.0,89.0218446796121,33.7733158299225,35554975.0,12.647,12.719,7.662,7.689,9.354,9367217.0,0.55472031193315,10.9781553203879,53.8594087593315,,,-2.27506913217589,538566128000.0,31.9135926809724,72923661286.0271,1731103146400.0,222184595472.195,9.388,-0.247911587357521,298315345300.0,13.2360600879054,616632766979.269,14637977636700.0,5274343683800.0,321753796661.517,7637973737800.0,620288121460.243,14724750510300.0,5963000000.0,0.933806495534912,8.93648761278945,3581.25454543643,53.4773,9009223614000.0,33.2548360241526,,,,95.3,,,,,,,79.855,77.156,74.529,84.2,99.5,82.1321,89.7969,85.9607
TUN,Tunisia,154347183057.376,0.666925034776371,12200431.0,6167026.0,50.5476077033672,6033405.0,49.4523922966328,1.12426173562959,8543555.0,70.0266686486584,29.9530430336584,4220673.0,20.45,20.453,12.818,12.82,15.106,3656876.0,-0.393468507618305,29.9733313513416,9.32899597507865,,,8.99999988758108,41692274000.0,53.0393939110608,4566818203.91499,14185300000.0,7314448965.55787,15.106,-0.300515085458755,16809607200.0,19.4187952219205,37804213360.0672,117426200000.0,22719900000.0,11614475332.4596,36076500000.0,29932196176.1876,92974400000.0,-12444977.5062371,1.46351333844229,,,3.0705,,,,,,99.9,,,,38.1219482421875,49.398738861084,27.3831596374512,79.149,76.508,73.918,99.8,99.9,,,72.3542
TTO,Trinidad and Tobago,42661667327.1124,0.124756950526578,1367510.0,691204.0,50.5447015934842,676306.0,49.4552984065158,0.136440286506078,737822.0,53.9536842104572,43.7283362882892,652012.0,3.871,4.803,2.974,3.75,3.361,629688.0,0.111069014824153,46.0463157895428,4.62930242419968,,,,,,209272988.218828,1412647500.0,3519534234.3749,4.21,-0.0436432547867298,,,,,23757778200.0,8639110170.83485,58316257100.0,15105607411.979,101966807700.0,530681774.033442,-5.98486458707791,,,11.8174,,,,,,100.0,92.9377899169922,95.1876678466797,90.7725601196289,,,,76.683,73.49,70.378,100.0,100.0,,,84.6994
TON,Tonga,735360754.384418,-0.424539964766316,104597.0,55007.0,52.5894624128799,49590.0,47.4105375871201,-0.419552642135141,22120.0,21.147944541337,44.1697721389355,35153.0,2.33,2.86,1.095,1.789,1.652,82477.0,-0.425877502357244,78.852055458663,6.35112980255189,,,81.5491987712965,191593421.353012,14.7440206946818,112073745.806013,264675823.717888,29345926.3261166,2.262,-0.115239478647709,291674901.778179,25.0876026664515,590086256.89231,1393560686.17453,69303985.2221362,87874404.3330177,207526126.50975,295504901.220911,697870875.83113,1141348.37640923,0.44357392332268,,,0.0005,,,,,,90.1,91.8606656320055,97.895246159429,86.3964950711939,42.8611738148984,58.6076201875125,28.8129560420004,76.405,72.895,69.37,88.7,95.6,,,58.5334
TGO,Togo,26445072845.206,2.33345506489111,9304337.0,4622682.0,49.6830886499489,4681655.0,50.3169113500511,3.53474615979644,4024096.0,43.2496853032436,48.0398789969448,3253141.0,,2.098,,1.81,,5280241.0,1.42753844264626,56.7503146967564,5.48928568141131,1002502847.0,0.122097527081831,,,,2091353879.74755,1268552000000.0,1150952549.15037,1.948,-0.578052043914795,,,,,698133000000.0,2046104343.31748,1241105000000.0,4787444477.73731,2903919000000.0,-99040550.0,0.812296154474204,,,0.6856,,,,,,13.2,63.4192515229188,59.0849653049812,67.6578300306738,,,,62.923,62.739,62.536,1.1,26.4,,,37.0223
TLS,Timor-Leste,5995450725.36276,1.08884743970717,1384286.0,686512.0,49.5932198982002,697774.0,50.4067801017998,1.12288513462672,395843.0,28.595471832952,45.8337758014203,602680.0,,1.538,,1.507,,988443.0,1.0752195698376,71.404528167048,8.42035103310377,,,-59.9912705365883,317754520.115723,22.9230952988934,357300075.845817,357300075.845817,34214554.4544679,1.521,-0.841954410076141,957880892.165041,52.9207740368254,1456861021.68468,1456861021.68468,34214554.4544679,496399695.711696,496399695.711696,1268643231.95917,1268643231.95917,-68000000.0,5.87499269142466,,,0.0037,,,,,,19.1,,,,30.9611108169641,31.5507306442772,30.3830980746799,69.436,67.689,66.067,7.4,38.1,,,34.0207
THA,Thailand,1519478855208.06,-0.0458651887192549,71702435.0,36752428.0,51.2568764051475,34950007.0,48.7431235948525,1.92942621671871,43691300.0,60.9341926574707,45.8541326238565,40729354.0,0.807,0.808,0.669,0.67,0.733,28011135.0,-3.05105000564566,39.0658073425293,8.47805174421543,39347999.0,0.00141509098093895,2.35691799619258,7536502000000.0,65.4445629404008,44175899395.2938,1537418000000.0,128869681157.125,0.733,0.171705812215805,1600203000000.0,16.6164810176384,296550311820.903,10320600000000.0,4484947000000.0,170148004195.943,5921523000000.0,301582380349.696,10495727000000.0,13682922126.8689,2.00183400496619,7.16136006690191,2965.2131060821,29.2105,10974676150000.0,61.1243613638526,,,,86.8,93.3356315272258,96.6361035696829,90.1769888485506,45.4407811172674,52.2406320377059,38.8285696857321,80.861,76.412,72.161,81.1,91.9,88.6092,90.5383,89.5353
TZA,Tanzania,233786087616.827,2.90250073555304,66617606.0,33603791.0,50.4428086106425,33013815.0,49.5571913893575,4.75559638967141,23632464.0,35.4748019434954,48.9705856716908,31951809.0,,3.498,,1.702,,42985142.0,1.89814402321599,64.5251980565046,3.79923291384916,62138050110.0,0.287112689958046,13.1999999998415,21709045262700.0,17.1954298762755,18720174196.0901,44610972276700.0,6637421603.34184,2.582,-0.455080926418304,14321201002000.0,8.75962998482192,42771068536.6483,101925277657500.0,15817258324300.0,22155487724.4993,52797470702000.0,22679851088.4775,54047050927500.0,0.0,2.08641570952108,,,3.12,,,,,,9.8,,,,5.16887784940301,4.66307392103225,5.67262428016314,69.775,66.995,64.198,2.5,23.3,,,29.0638
TJK,Tajikistan,46466548855.3976,2.01812009749216,10389799.0,5288457.0,50.9004745905094,5101342.0,49.0995254094906,1.99253403443671,2720986.0,26.1890127571429,39.7945975713003,2720221.0,,10.462,,12.263,,7668813.0,2.02719991045075,73.8109872428571,,,,13.3999998813136,7261491200.0,17.1918374601415,2798877774.72964,30352500000.0,1789188553.67109,11.546,-0.772318005561829,222841800.0,10.6621971920935,10968373441.8981,118946800000.0,19402900000.0,4118788052.03547,44666300000.0,4249738923.5582,46086400000.0,40037169.31,1.14813698883392,,,1.8783,,,,,,87.9,88.4022015902249,83.7874636593437,,34.9689625947729,34.0234005542585,35.9911907922805,73.976,71.79,69.574,83.8,98.7,,,56.791
